Country,CountryId,Fatals,Code
Poland,/wiki/Poland,10.9,POL
Portugal,/wiki/Portugal,9.7,PRT
Puerto Rico,/wiki/Puerto_Rico,12.8,PRI
Qatar,/wiki/Qatar,14.0,QAT
Republic of Moldova,/wiki/Moldova,13.9,MDA
Romania,/wiki/Romania,11.1,ROU
Russia,/wiki/Russia,18.6,RUS
Rwanda,/wiki/Rwanda,19.9,RWA
Saint Lucia,/wiki/Saint_Lucia,14.9,LCA
Saint Vincent and the Grenadines,/wiki/Saint_Vincent_and_the_Grenadines,4.6,VCT
Samoa,/wiki/Samoa,16.4,WSM
San Marino,/wiki/San_Marino,0,SMR
So Tom and Prncipe,/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,20.6,STP
Saudi Arabia,/wiki/Saudi_Arabia,24.8,SAU
Senegal,/wiki/Senegal,19.5,SEN
Serbia,/wiki/Serbia,9.5,SRB
Seychelles,/wiki/Seychelles,15.0,SYC
Sierra Leone,/wiki/Sierra_Leone,22.6,SLE
Singapore,/wiki/Singapore,5.1,SGP
Slovakia,/wiki/Slovakia,9.4,SVK
Slovenia,/wiki/Slovenia,6.6,SVN
Solomon Islands,/wiki/Solomon_Islands,14.7,SLB
South Africa,/wiki/South_Africa,31.9,ZAF
South Korea,/wiki/South_Korea,10.6,KOR
Spain,/wiki/Spain,3.6,ESP
Sri Lanka,/wiki/Sri_Lanka,13.7,LKA
Sudan,/wiki/Sudan,25.1,SDN
Suriname,/wiki/Suriname,19.6,SUR
Swaziland,/wiki/Swaziland,23.4,SWZ
Sweden,/wiki/Sweden,3,SWE
Switzerland,/wiki/Switzerland,3.4,CHE
Syrian Arab Republic,/wiki/Syria,22.9,SYR
Tajikistan,/wiki/Tajikistan,18.1,TJK
Thailand,/wiki/Thailand,38.1,THA
Timor-Leste,/wiki/East_Timor,19.5,TLS
Togo,/wiki/Togo,17.2,TGO
Tonga,/wiki/Tonga,5.8,TON
Trinidad and Tobago,/wiki/Trinidad_and_Tobago,16.7,TTO
Tunisia,/wiki/Tunisia,18.8,TUN
Turkey,/wiki/Turkey,9.6,TUR
Turkmenistan,/wiki/Turkmenistan,18.6,TKM
Tuvalu,/wiki/Tuvalu,9.6,TUV
Uganda,/wiki/Uganda,28.9,UGA
Ukraine,/wiki/Ukraine,13.5,UKR
United Arab Emirates,/wiki/United_Arab_Emirates,12.7,ARE
United Kingdom,/wiki/United_Kingdom,3.5,GBR
Tanzania,/wiki/Tanzania,22.7,TZA
United States,/wiki/United_States,11.6,USA
Uruguay,/wiki/Uruguay,21.5,URY
Uzbekistan,/wiki/Uzbekistan,11.3,UZB
Vanuatu,/wiki/Vanuatu,16.3,VUT
Venezuela,/wiki/Venezuela,37.2,VEN
Vietnam,/wiki/Vietnam,24.7,VNM
Yemen,/wiki/Yemen,23.7,YEM
Zambia,/wiki/Zambia,23.8,ZMB
Zimbabwe,/wiki/Zimbabwe,14.6,ZWE
